"Name","TAID","Tax Rate"                                                        
"PALESTINE","2001018",".0150000"                                                
"FRANKSTON","2001027",".0150000"                                                
"ELKHART","2001036",".0125000"                                                  
"ANDREWS","2002017",".0200000"                                                  
"LUFKIN","2003016",".0150000"                                                   
"DIBOLL","2003025",".0150000"                                                   
"HUNTINGTON","2003034",".0150000"                                               
"ZAVALLA","2003043",".0150000"                                                  
"HUDSON","2003052",".0150000"                                                   
"BURKE","2003070",".0100000"                                                    
"ROCKPORT","2004015",".0100000"                                                 
"FULTON","2004024",".0100000"                                                   
"HOLLIDAY","2005014",".0100000"                                                 
"ARCHER CITY","2005023",".0150000"                                              
"SCOTLAND","2005032",".0150000"                                                 
"MEGARGEL","2005041",".0100000"                                                 
"WINDTHORST","2005050",".0150000"                                               
"LAKESIDE CITY","2005069",".0100000"                                            
"CLAUDE","2006013",".0150000"                                                   
"LYTLE","2007012",".0150000"                                                    
"POTEET","2007021",".0150000"                                                   
"JOURDANTON","2007030",".0150000"                                               
"PLEASANTON","2007049",".0150000"                                               
"CHARLOTTE","2007058",".0150000"                                                
"SEALY","2008011",".0150000"                                                    
"BELLVILLE","2008020",".0150000"                                                
"SAN FELIPE","2008039",".0150000"                                               
"WALLIS","2008048",".0150000"                                                   
"INDUSTRY","2008066",".0150000"                                                 
"BRAZOS COUNTRY","2008075",".0100000"                                           
"SOUTH FRYDEK","2008084",".0100000"                                             
"MULESHOE","2009010",".0150000"                                                 
"BANDERA","2010017",".0150000"                                                  
"ELGIN","2011016",".0150000"                                                    
"BASTROP","2011025",".0150000"                                                  
"SMITHVILLE","2011034",".0150000"                                               
"SEYMOUR","2012015",".0100000"                                                  
"BEEVILLE","2013014",".0150000"                                                 
"TEMPLE","2014013",".0150000"                                                   
"KILLEEN","2014022",".0150000"                                                  
"HOLLAND","2014031",".0100000"                                                  
"BELTON","2014040",".0150000"                                                   
"ROGERS","2014059",".0125000"                                                   
"HARKER HEIGHTS","2014068",".0150000"                                           
"TROY","2014077",".0150000"                                                     
"MORGANS POINT RESORT","2014086",".0150000"                                     
"NOLANVILLE","2014095",".0150000"                                               
"LITTLE RIVER ACADEMY","2014102",".0100000"                                     
"SALADO","2014120",".0100000"                                                   
"SAN ANTONIO","2015012",".0125000"                                              
"ALAMO HEIGHTS","2015021",".0150000"                                            
"BALCONES HEIGHTS","2015030",".0100000"                                         
"CASTLE HILLS","2015049",".0125000"                                             
"LEON VALLEY","2015058",".0137500"                                              
"OLMOS PARK","2015067",".0150000"                                               
"TERRELL HILLS","2015076",".0125000"                                            
"HILL COUNTRY VILLAGE","2015085",".0200000"                                     
"WINDCREST","2015094",".0175000"                                                
"KIRBY","2015101",".0125000"                                                    
"GREY FOREST","2015110",".0125000"                                              
"UNIVERSAL CITY","2015129",".0200000"                                           
"HOLLYWOOD PARK","2015138",".0200000"                                           
"CONVERSE","2015147",".0150000"                                                 
"LIVE OAK","2015156",".0200000"                                                 
"SOMERSET","2015165",".0200000"                                                 
"SELMA","2015174",".0150000"                                                    
"CHINA GROVE","2015183",".0125000"                                              
"ELMENDORF","2015192",".0150000"                                                
"SHAVANO PARK","2015209",".0125000"                                             
"SAINT HEDWIG","2015218",".0150000"                                             
"HELOTES","2015227",".0200000"                                                  
"VON ORMY","2015245",".0200000"                                                 
"FAIR OAKS RANCH","2015254",".0150000"                                          
"SANDY OAKS","2015263",".0150000"                                               
"JOHNSON CITY","2016011",".0150000"                                             
